Port,longitude,latitude
VASTERVIK,16.39,57.46
NORRKOPING,16.12,58.35
OXELOSUND,17.07,58.4
NYKOPING,17.01,58.45
SODERTALJE,17.39,59.11
NYNASHAMN,17.58,58.54
GUSTAVSBERG,18.23,59.19
SANDHAMN,18.55,59.17
STOCKHOLM,18.03,59.2
VASTERAS,16.33,59.37
GRISSLEHAMN,18.49,60.06
HALLSTAVIK,18.35,60.03
HARGSHAMN,18.27,60.11
SKUTSKAR,17.24,60.39
KARSKAR,17.16,60.41
GAVLE,17.1,60.41
NORRSUNDET,17.1,60.56
VALLVIK,17.1,61.11
SANDARNE,17.11,61.16
SODERHAMN,17.05,61.18
IGGESUND,17.05,61.39
HUDIKSVALL,17.07,61.44
STOCKA,17.21,61.54
STOCKVIK,17.23,62.2
SUNDSVALL,17.21,62.23
VIVSTAVARV,17.21,62.29
SORAKER,17.3,62.3
HARNOSAND,17.56,62.38
ULVVIK,17.52,62.4
UTANSJO,17.56,62.46
GUSTAVSVIK,17.53,62.5
LUNDE,17.53,62.53
KRAMFORS,17.48,62.56
VAJA,17.43,62.59
BOLLSTABRUK,17.42,63
KOPMANHOLMEN,18.35,63.1
DOMSJO,18.44,63.16
ORNSKOLDSVIK,18.43,63.17
HUSUM,19.09,63.2
RUNDVIK,19.27,63.32
NORDMALING,19.29,63.34
OBBOLA,20.2,63.42
UMEA HAMN,20.21,63.42
GUMBODAHAMN,21.06,64.14
SKELLEFTEHAMN,21.14,64.41
KAGEHAMN,21.02,64.5
BRANNFORS,21.23,65.01
PITEA,21.29,65.19
LULEA,22.1,65.35
TOREHAMN,22.39,65.54
KARLSBORG,23.17,65.48
SANDVIK,23.46,65.44
TORINA,24.1,65.46
KEMI,24.34,65.44
OULU,25.24,65.01
RAAHE,24.25,64.41
VEITSILUOTO,24.37,65.42
RAHJA,23.44,64.12
HIMANKA,23.39,64
KOKKOLA,23.01,63.51
JAKOBSTAD,22.4,63.41
NYKARLEBY,22.32,63.31
KANTLAX,22.17,63.25
HELLNAS,22.14,63.17
VAASA,21.35,63.06
KASKINEN,21.14,62.23
KRISTINESTAD,21.24,62.17
PORI,21.48,61.29
MANTYLUOTO,21.29,61.36
TAHKOLUOTO,21.24,61.38
RAUMA,21.3,61.08
UUSIKAUPUNKI,21.24,60.48
NAANTALI,22.01,60.28
TURKU,22.14,60.27
TOLKKINEN,25.35,60.02
SIGNILSKAR,19.2,60.12
MARIEHAMN,19.55,60.06
PARGAS,22.04,60.17
HANKO,22.57,59.49
EKENAS,23.26,59.59
JUSSARO,23.34,59.5
PORKKALA,24.23,60.05
INKOO,23.55,60.01
HELSINKI,24.58,60.1
PORVOO,25.38,60.18
LOVIISA,26.14,60.27
KOTKA,26.58,60.28
HAMINA,27.12,60.34
VYBORG,28.45,60.43
GAVAN VYSOTSK,28.34,60.37
PRIMORSK,28.38,60.22
SANKT-PETERBURG,30.18,59.56
LOMONOSOV,29.46,59.55
KRONSHTADT,29.47,59.59
REKA LUGA,28.19,59.4
KUNDA,26.32,59.32
TALLINN,24.46,59.27
MUUGA-PORT OF TALLIN,24.57,59.3
PALDISKI,24.02,59.21
OSMUSSAAR,23.22,59.18
PARNU,24.3,58.23
SALACGRIVA,24.22,57.42
RIGA,24.06,56.57
LIELUPE,23.26,57
VENTSPILS,21.32,57.24
LIEPAJA,21.01,56.31
BUTINGE OIL TERMINAL,20.57,56.02
KLAIPEDA,21.07,55.43
BALTIYSK,19.54,54.38
KALININGRAD,20.29,54.42
GDANSK,18.4,54.21
PORT POLNOCHNY,18.43,54.24
NOWY PORT,18.4,54.25
GDYNIA,18.33,54.32
POLICE,14.34,53.34
USTKA,16.51,54.35
DARLOWO,16.25,54.26
KOLOBRZEG,15.33,54.13
SWINOUJSCIE,14.16,53.55
SZCZECIN,14.33,53.25
WOLGAST,13.47,54.03
SASSNITZ,13.39,54.31
STRALSUND,13.06,54.19
ROSTOCK,12.08,54.06
WISMAR,11.28,53.54
LUBECK-TRAVEMUNDE,10.53,53.58
LUBECK,10.42,53.53
NEUSTADT,10.49,54.06
ORTH,11.03,54.27
HEILIGENHAFEN,10.59,54.22
KIEL,10.08,54.19
ECKERNFORDE,9.5,54.29
KAPPELN,9.56,54.4
FLENSBURG,9.26,54.48
NEKSO,15.08,55.04
RONNE,14.42,55.06
HASLE,14.42,55.11
CHRISTIANSO HARBOR,15.11,55.19
FAKSE LADEPLADS HAVN,12.1,55.13
KOGE,12.12,55.27
KOBENHAVN,12.37,55.42
TUBORG,12.35,55.43
HELSINGOR,12.37,56.02
HUNDESTED,11.51,55.58
FREDERIKSVAERK,12.01,55.58
FREDERIKSSUND,12.03,55.5
KYNDBYVAERKETS HAVN,11.53,55.49
HOLBAEK,11.43,55.43
NYKOBING (MOR),11.52,56.46
KALUNDBORG,11.06,55.41
KORSOR,11.08,55.2
SKAELSKOR,11.18,55.15
STIGSNAESVAERKET,11.15,55.12
GULFHAVEN,11.16,55.12
NAESTVED,11.45,55.14
VORDINGBORG,11.54,55
STUBBEKOBING,12.03,54.53
STEGE,12.17,54.59
NYKOBING (FALSTER),11.52,54.46
SAKSKOBING,11.38,54.48
BANDHOLM,11.3,54.5
NAKSKOV,11.08,54.5
RODBY HAVN,11.21,54.39
NYSTED,11.44,54.4
RUDKOBING,10.43,54.57
MARSTAL,10.2,54.55
AEROSKOBING,10.25,54.53
SVENDBORG,10.37,55.04
NYBORG,10.48,55.19
KERTEMINDE,10.4,55.27
ODENSE,10.23,55.25
SKAERBAEK,9.37,55.31
MIDDELFART,9.44,55.3
ASSENS,9.53,55.16
FABORG,10.15,55.06
SONDERBORG,9.47,54.55
AUGUSTENBORG,9.52,54.57
ABENRA,9.26,55.03
ENSTED,9.26,55.01
HADERSLEV,9.3,55.15
KOLDING,9.3,55.29
FREDERICIA,9.46,55.34
VEJLE,9.33,55.43
HORSENS,9.51,55.52
ARHUS,10.13,56.09
STUDSTRUP,10.21,56.15
GRENAA HAVN,10.56,56.25
RANDERS,10.03,56.28
HADSUND,10.07,56.43
MARIAGER,9.59,56.39
HOBRO,9.48,56.38
HALS,10.19,56.59
ALBORG,9.56,57.03
FREDERIKSHAVN,10.33,57.26
SKAGEN HAVN,10.36,57.43
HIRTSHALS,9.58,57.36
HANSTHOLM,8.36,57.08
THISTED,8.42,56.57
THYBORON,8.13,56.42
LEMVIG,8.17,56.35
HOLSTEBRO-STUER,8.35,56.3
RINGKOBING,8.15,56.05
ESBJERG,8.27,55.28
HUSUM,9.03,54.29
BUSUM,8.52,54.08
BRUNSBUTTEL ELBAHAFEN,9.1,53.53
BRUNSBUTTEL CANAL TERMINALS,9.09,53.54
ITZEHOE,9.31,53.55
RENDSBURG,9.41,54.18
NEUHAUS,9.02,53.48
GLUCKSTADT,9.25,53.47
HAMBURG,9.56,53.33
BUTZFLETH,9.31,53.39
CUXHAVEN,8.43,53.52
BREMERHAVEN,8.35,53.32
NORDENHAM,8.29,53.29
BRAKE,8.29,53.2
ELSFLETH,8.28,53.14
OLDENBURG,8.13,53.07
BREMEN,8.46,53.08
WILHELMSHAVEN,8.1,53.32
EMDEN,7.11,53.2
LEER,7.27,53.14
PAPENBURG,7.23,53.06
EEMSHAVEN,6.5,53.27
DELFZIJL,6.56,53.2
HARLINGEN,5.25,53.11
DEN HELDER,4.47,52.58
IJMUIDEN,4.35,52.28
ZAANDAM,4.5,52.26
AMSTERDAM,4.54,52.22
SCHEVENINGEN,4.16,52.06
HOEK VAN HOLLAND,4.08,51.57
EUROPOORT,4.07,51.57
MAASSLUIS,4.15,51.55
VLAARDINGEN,4.21,51.54
SCHIEDAM,4.24,51.54
ROTTERDAM,4.29,51.54
DORDRECHT,4.39,51.49
VLISSINGEN,3.36,51.27
HANSWEERT,4,51.27
TERNEUZEN,3.49,51.21
ANTWERPEN,4.24,51.13
BRUXELLES,4.21,50.52
GHENT,3.44,51.04
ZEEBRUGGE,3.12,51.2
BRUGES,3.13,51.14
OOSTENDE,2.55,51.14
NIEUWPOORT,2.45,51.08
WHITSTABLE,1.02,51.22
SHEERNESS,0.45,51.27
ISLE OF GRAIN,0.42,51.26
THAMESPORT,0.42,51.26
CHATHAM DOCKS,0.33,51.24
GRAVESEND,0.22,51.27
TILBURY,0.2,51.28
LONDON,-0.05,51.3
COLCHESTER,0.55,51.53
HARWICH,1.17,51.57
IPSWICH,1.1,52.03
FELIXSTOWE,1.19,51.57
LOWESTOFT,1.45,52.29
GREAT YARMOUTH,1.44,52.37
WISBECH,0.09,52.4
KING'S LYNN,0.24,52.45
BOSTON,-0.01,52.58
GRIMSBY,-0.04,53.35
IMMINGHAM,-0.12,53.38
KINGSTON UPON HULL,-0.17,53.45
HOWDENDYKE,-0.53,53.44
NEW HOLLAND,-0.22,53.42
GOOLE,-0.5,53.42
BRIDLINGTON,-0.11,54.05
SCARBOROUGH,-0.24,54.17
WHITBY,-0.37,54.29
TEESPORT,-1.08,54.39
HARTLEPOOL,-1.11,54.42
SEAHAM,-1.19,54.5
SUNDERLAND,-1.22,54.55
TYNEMOUTH,-1.24,55
BLYTH,-1.3,55.07
WARKWORTH HARBOUR,-1.35,55.2
BERWICK-UPON-TWEED,-2,55.46
EYEMOUTH,-2.05,55.52
DUNBAR,-2.31,56
BIRD PORT,-2.58,51.34
LEITH,-3.11,55.59
GRANTON,-3.13,55.59
BRAEFOOT BAY TERMINAL,-3.19,56.02
HOUND POINT TERMINAL,-3.22,56
ROSYTH,-3.26,56.01
GRANGEMOUTH,-3.43,56.01
BURNTISLAND,-3.14,56.03
METHIL,-3,56.11
DUNDEE,-2.57,56.28
PERTH,-3.27,56.24
MONTROSE,-2.28,56.42
ABERDEEN,-2.05,57.09
PETERHEAD,-1.47,57.3
FRASERBURGH HARBOR,-2,57.41
MACDUFF,-2.3,57.4
BUCKIE HARBOR,-2.58,57.41
LOSSIEMOUTH,-3.17,57.43
BURGHEAD,-3.3,57.42
INVERNESS,-4.14,57.29
CROMARTY,-4.02,57.41
INVERGORDON,-4.1,57.41
PORTMAHOMACK HARBOR,-3.5,57.5
HELMSDALE HARBOR,-3.39,58.07
WICK,-3.05,58.26
PIEROWALL,-2.59,59.18
KETTLETOFT,-2.36,59.14
WHITEHALL,-2.36,59.08
KIRKWALL,-2.58,58.59
STROMNESS,-3.18,58.58
SOUTH NESS,-3.12,58.48
ST MARGARETS HOPE,-2.57,58.5
LYNESS,-3.12,58.5
SCAPA BAY,-2.59,58.57
SCALLOWAY,-1.17,60.08
LERWICK,-1.09,60.09
SULLOM VOE,-1.18,60.28
VAGUR,-6.48,61.29
TVOROYRI,-6.48,61.33
TORSHAVN,-6.45,62
KONGSHAVN,-6.44,62.07
RUNAVIK,-6.43,62.07
VESTMANNA,-7.1,62.09
SORVAGUR,-7.15,62.05
FUGLAFJORDUR,-6.48,62.15
KLAKSVIK,-6.35,62.14
SCRABSTER HARBOR,-3.33,58.37
ULLAPOOL,-5.09,57.54
AULTBEA,-5.35,57.5
GAIRLOCH,-5.41,57.43
PLOCKTON,-5.39,57.2
KYLE OF LOCHALSH,-5.43,57.17
KYLEAKIN,-5.44,57.16
BROADFORD BAY,-5.53,57.15
PORTREE HARBOR,-6.12,57.25
UIG,-6.21,57.35
LOCHMADDY,-7.1,57.36
CASTLE BAY,-7.29,56.57
LOCHBOISDALE,-7.18,57.09
STORNOWAY HARBOR,-6.22,58.11
TARBERT,-6.49,57.54
ORNSAY,-5.48,57.09
MALLAIG,-5.49,57
TOBERMORY,-6.04,56.37
KILKEEL,-5.59,54.03
LOCHALINE,-5.46,56.33
CRAIGNURE,-5.42,56.28
CORPACH,-5.07,56.51
FORT WILLIAM,-5.07,56.49
GLENSANDA,-5.32,56.34
OBAN,-5.28,56.25
PORT ELLEN,-6.12,55.38
CRINAN (CANAL),-5.34,56.05
CAMPBELTOWN,-5.36,55.26
LAMLASH HARBOR,-5.07,55.32
ARDRISHAIG,-5.27,56.01
ROTHESAY HARBOR,-5.03,55.5
GREENOCK,-4.45,55.57
FINNART OIL TERMINAL,-4.5,56.07
BOWLING,-4.29,55.56
OLD KILPATRICK,-4.28,55.55
ROTHESAY DOCK,-4.24,55.54
RENFREW,-4.23,55.53
GLASGOW,-4.17,55.52
LARGS,-4.52,55.48
HUNTERSTON,-4.53,55.45
MILLPORT,-4.55,55.45
ARDROSSAN,-4.49,55.39
TROON,-4.41,55.33
AYR,-4.38,55.28
STRANRAER,-5.02,54.54
BANGOR,-5.4,54.39
DOUGLAS,-4.28,54.09
RAMSEY,-4.22,54.19
WARREN POINT,-6.15,54.06
ARDGLASS,-5.37,54.16
BELFAST,-5.54,54.37
KILROOT,-5.43,54.44
LARNE,-5.48,54.51
COLERAINE,-6.4,55.08
LONDONDERRY,-7.19,55
RATHMULLAN,-7.32,55.06
KILLYBEGS,-8.27,54.38
SLIGO,-8.28,54.16
LANCASTER,-2.47,54.03
WESTPORT,-9.32,53.48
DROGHEDA,-6.18,53.43
GALWAY,-9.03,53.16
LIMERICK,-8.37,52.38
FOYNES,-9.07,52.37
TARBERT,-9.22,52.35
FENIT,-9.52,52.16
CASTLETOWN BEARHAVEN,-9.55,51.39
VALENTIA,-10.18,51.56
KILRUSH,-9.3,52.38
BANTRY,-9.27,51.41
COBH,-8.18,51.51
CORK,-8.16,51.51
NEW ROSS,-6.57,52.23
WATERFORD,-7.07,52.16
ROSSLARE,-6.2,52.15
DUBLIN,-6.15,53.21
GREENORE,-6.08,54.02
SILLOTH,-3.24,54.52
WORKINGTON,-3.38,54.34
BARROW IN FURNESS,-3.14,54.07
HEYSHAM,-2.55,54.02
GARLSTON,-2.54,53.21
LIVERPOOL BAY TERMINAL,-3.33,53.32
FLEETWOOD,-3.01,53.55
MOSTYN,-3.16,53.19
LIVERPOOL,-3,53.25
MANCHESTER,-2.16,53.29
HOLYHEAD,-4.38,53.19
CAERNARVON,-4.16,53.09
FISHGUARD,-4.59,52.01
MILFORD HAVEN,-5.02,51.43
SWANSEA,-3.57,51.37
NEATH,-3.5,51.38
PORT TALBOT,-3.49,51.35
BARRY,-3.16,51.24
CARDIFF,-3.1,51.27
NEWPORT,-2.59,51.33
SHARPNESS,-2.29,51.43
AVONMOUTH,-2.43,51.3
BRISTOL,-2.38,51.28
BRIDGWATER,-3,51.08
WATCHET HARBOR,-3.2,51.11
BIDEFORD,-4.12,51.02
PADSTOW,-4.56,50.33
HAYLE,-5.25,50.11
ST. MARY'S (SCILLY ISL.),-6.19,49.55
NEWLYN,-5.33,50.06
PENZANCE,-5.32,50.07
FALMOUTH HARBOUR,-5.04,50.09
MEVAGISSEY,-4.47,50.16
CHARLESTOWN,-4.45,50.2
PAR,-4.42,50.21
FOWEY HARBOUR,-4.38,50.2
PLYMOUTH,-4.09,50.22
DARTMOUTH HARBOUR,-3.37,50.21
BRIXHAM HARBOUR,-3.31,50.24
TORQUAY HARBOUR,-3.32,50.28
TEIGNMOUTH HARBOUR,-3.3,50.33
BRIDPORT HARBOUR,-2.46,50.43
PORTLAND HARBOUR,-2.26,50.35
WEYMOUTH HARBOUR,-2.27,50.37
POOLE HARBOUR,-1.57,50.41
COWES HARBOUR,-1.18,50.46
YARMOUTH HARBOUR,-1.3,50.42
SOUTHAMPTON,-1.24,50.54
FAWLEY MARINE TERMINAL,-1.2,50.49
PORTSMOUTH HARBOUR,-1.06,50.48
LITTLEHAMPTON HARBOUR,-0.32,50.47
SHOREHAM HARBOUR,-0.15,50.49
NEWHAVEN HARBOUR,0.03,50.47
RYE HARBOUR,0.46,50.56
FOLKESTONE HARBOUR,1.12,51.05
DOVER HARBOR,1.2,51.07
RAMSGATE,1.25,51.2
DUNKERQUE PORT EST,2.23,51.03
DUNKERQUE PORT OUEST,2.21,51.04
GRAVELINES,2.07,51
CALAIS,1.51,50.58
BOULOGNE-SUR-MER,1.36,50.44
SAINT-VALERY-SUR-SOMME,1.37,50.11
LE TREPORT,1.22,50.04
DIEPPE,1.05,49.56
FECAMP,0.22,49.46
PORT DU HAVRE-ANTIFER,0.09,49.39
PORT OF LE HAVRE,0.07,49.29
PORT OF ROUEN,1.04,49.27
HONFLEUR,0.13,49.25
DEAUVILLE,0.05,49.22
PORT DE CAEN,-0.21,49.11
OUISTREHAM,-0.15,49.17
RADE DE CHERBOURG,-1.38,49.39
ALDERNEY HARBOUR,-2.12,49.44
SAINT SAMPSON,-2.31,49.29
SAINT PETER PORT,-2.32,49.27
SAINT HELIER HARBOUR,-2.07,49.11
GRANVILLE,-1.36,48.5
SAINT-MALO,-2.01,48.39
LE LEGUE,-2.45,48.32
PAIMPOL,-3.03,48.47
PONTRIEUX,-3.09,48.42
TREGUIER,-3.14,48.47
MORLAIX,-3.5,48.35
PORT DE ROSCOFF-BLOSCON,-3.59,48.44
RADE DE BREST,-4.3,48.23
CONCARNEAU,-3.55,47.52
LORIENT,-3.21,47.45
ST NAZAIRE,-2.12,47.17
MONTOIR,-2.08,47.18
DONGES,-2.04,47.18
NANTES,-1.34,47.12
LES SABLES D' OLONNE,-1.48,46.3
LA PALLICE,-1.13,46.1
LA ROCHELLE,-1.09,46.09
ROCHEFORT,-0.57,45.56
TONNAY CHARENTE,-0.54,45.56
LE VERDON,-1.03,45.33
PAUILLAC,-0.45,45.12
BLAYE,-0.4,45.08
AMBES,-0.32,45.01
BORDEAUX,-0.34,44.52
BAYONNE,-1.28,43.3
PUERTO DE PASAJES,-1.56,43.2
BERMEO,-2.43,43.25
PUERTO DE BILBAO,-3.03,43.21
SANTANDER,-3.47,43.28
GIJON,-5.4,43.33
AVILES,-5.56,43.36
RIBADEO,-7.02,43.32
SAN CIPRIAN,-7.26,43.42
FERROL,-8.14,43.29
LA CORUNA,-8.24,43.22
VILLAGARCIA DE AROSA,-8.46,42.36
MARIN,-8.42,42.24
VIGO,-8.43,42.14
VIANA DO CASTELO,-8.5,41.42
PORTO DE LEIXOES,-8.42,41.11
DOURO,-8.4,41.09
AVEIRO,-8.39,40.39
FIGUEIRA DA FOZ,-8.51,40.09
LISBOA,-9.1,38.42
SETUBAL,-8.54,38.31
SINES,-8.52,37.57
LAGOS,-8.37,37.06
FARO,-7.56,37.02
VILA REAL DE S ANTONIO,-7.24,37.11
HORTA,-28.38,38.32
LAJES,-28.16,38.24
ANGRA DO HEROISMO,-27.13,38.39
PRAIA DE VITORIA,-27.03,38.43
PONTA DELGADA,-25.4,37.44
VILA DO PORTO,-25.09,36.56
FUNCHAL,-16.55,32.38
SANTA CRUZ DE LA PALMA,-17.45,28.41
SANTA CRUZ DE TENERIFE,-16.14,28.28
LAS PALMAS,-15.25,28.09
PUERTO DEL ROSARIO,-13.51,28.3
ARRECIFE,-13.32,28.57
HUELVA,-6.57,37.15
SEVILLA,-6,37.22
ROTA,-6.2,36.37
CADIZ,-6.18,36.32
ALGECIRAS,-5.26,36.08
EUROPA POINT,-5.21,36.08
MALAGA,-4.25,36.43
MOTRIL,-3.31,36.45
ADRA,-3.02,36.44
ALMERIA,-2.28,36.5
PUERTO DE CARBONERAS,-1.53,37
PUERTO DE GARRUCHA,-1.49,37.11
AGUILAS,-1.34,37.24
HORNILLO,-1.33,37.24
CARTAGENA,-0.59,37.35
ISLAS HORMIGAS,-0.39,37.39
TORREVIEJA,-0.41,37.58
ALICANTE,-0.29,38.2
PUERTO DE GANDIA,-0.09,39
VALENCIA,-0.19,39.27
SAGUNTO,-0.13,39.39
BURRIANA,-0.03,39.53
EL GRAO,0.01,39.58
TARRAGONA,1.14,41.06
VILLANUEVA Y GELTRU,1.44,41.14
BARCELONA,2.1,41.21
SAN FELIU DE GUIXOLS,3.02,41.47
PALAMOS,3.07,41.5
LAS HORMIGAS,3.11,41.52
ROSAS,3.11,42.16
IBIZA,1.27,38.54
PALMA DE MALLORCA,2.38,39.34
PUERTO DE ALCUDIA,3.08,39.5
MAHON,4.16,39.53
PORT-VENDRES,3.07,42.31
PORT-LA-NOUVELLE,3.04,43.01
SETE,3.42,43.24
PORT SAINT LOUIS DU RHONE,4.49,43.23
FOS,4.53,43.25
PORT-DE-BOUC,4.59,43.24
MARSEILLE,5.22,43.19
TOULON,5.55,43.06
SAINT-TROPEZ,6.38,43.16
SAINT-RAPHAEL,6.46,43.25
CANNES,7.01,43.33
ANTIBES,7.08,43.35
NICE,7.17,43.42
VILLEFRANCHE,7.19,43.42
MONACO,7.25,43.44
BASTIA,9.27,42.42
PORTO VECCHIO,9.17,41.35
BONIFACIO,9.1,41.23
PORT DE PROPRIANO,8.54,41.41
PORT D' AJACCIO,8.45,41.55
CALVI,8.45,42.34
L'ILE ROUSSE,8.56,42.38
LA MADDALENA,9.25,41.12
OLBIA,9.3,40.55
ARBATAX,9.42,39.56
CAGLIARI,9.07,39.13
SARROCH OIL TERMINAL,9.02,39.05
PORTO PONTE ROMANO,8.28,39.03
CARLOFORTE,8.19,39.09
PORTO VESME,8.24,39.12
PORTO DI ORISTANO,8.33,39.52
PORTO TORRES,8.24,40.5
SAN REMO,7.47,43.49
IMPERIA,8.02,43.53
RADA DI VADO,8.26,44.16
SAVONA,8.3,44.19
ORISTANO,8.33,39.52
GENOVA,8.56,44.24
LA SPEZIA,9.5,44.06
MARINA DI CARRARA,10.02,44.02
LIVORNO,10.19,43.33
VADA,10.27,43.21
PORTOFERRAIO,10.2,42.49
PORTOVECCHIO DI PIOMBINO,10.33,42.56
PORTO SANTO STEFANO,11.07,42.26
CIVITAVECCHIA,11.47,42.06
FIUMICINO,12.14,41.46
ANZIO,12.38,41.27
GAETA,13.35,41.12
POZZUOLI,14.07,40.49
BAGNOLI,14.1,40.49
NAPOLI,14.16,40.51
TORRE ANNUNZIATA,14.27,40.45
CASTELLAMMARE DI STABIA,14.29,40.42
SALERNO,14.45,40.4
VIBO VALENTIA MARINA,16.08,38.43
REGGIO DI CALABRIA,15.39,38.07
MESSINA,15.34,38.12
MILAZZO,15.15,38.13
GIOIA TAURO,15.54,38.25
TERMINI IMERESE,13.42,37.59
PORTO DI PALERMO,13.22,38.08
TRAPANI,12.3,38.01
MARSALA,12.26,37.47
MAZARA DEL VALLO,12.35,37.39
PORTO EMPEDOCLE,13.32,37.17
LICATA,13.56,37.06
GELA,14.15,37.04
POZZALLO,14.51,36.43
SIRACUSA,15.17,37.03
MELILLI OIL TERMINAL,15.15,37.07
AUGUSTA,15.14,37.13
CATANIA,15.06,37.3
LIPARI,14.58,38.29
VALLETTA HARBORS,14.31,35.54
MARSAXLOKK,14.33,35.49
CROTONE,17.08,39.05
TARANTO,17.12,40.28
GALLIPOLI,17.59,40.03
OTRANTO,18.3,40.09
BRINDISI,17.59,40.39
TORRE DEL GRECO,14.22,40.47
MONOPOLI,17.18,40.57
BARI,16.52,41.08
MOLFETTA,16.36,41.13
PORTO DI BARLETTA,16.17,41.19
MANFREDONIA,15.55,41.37
VASTO,14.43,42.07
ORTONA,14.25,42.21
PESCARA,14.13,42.28
ANCONA,13.3,43.37
PORTO DI CORSINI,12.17,44.3
PORTO DI CHIOGGIA,12.18,45.14
PORTO DI MALAMOCCO,12.19,45.2
PORTO DI LIDO-VENEZIA,12.26,45.25
MONFALCONE,13.33,45.47
TRIESTE,13.46,45.39
MUGGIA,13.46,45.36
KOPER,13.44,45.33
PIRAN,13.34,45.32
UMAG,13.31,45.26
ROVINJ,13.38,45.05
PULA,13.48,44.53
ZALIV RASA,14.04,45.03
BRSICA,14.03,45.02
RIJEKA LUKA,14.26,45.2
BAKAR,14.32,45.18
OMISALJ,14.33,45.13
SENJ,14.54,44.59
ZADAR,15.13,44.07
SIBENIK,15.53,43.44
SPLIT,16.26,43.3
DUGI RAT,16.39,43.27
PLOCE,17.26,43.03
NEUM,17.36,42.55
KORCULA,17.08,42.56
DUBROVNIK,18.05,42.4
RISAN,18.42,42.31
KOTOR,18.46,42.25
TIVAT,18.42,42.26
BAR,19.05,42.05
SHENGJIN,19.36,41.49
DURRES,19.27,41.19
VLORES,19.3,40.28
KERKIRA,19.56,39.37
PREVEZA,20.45,38.57
ARGOSTOLION,20.31,38.11
MESOLONGION,21.25,38.22
ITEA,22.25,38.26
AIYION,22.05,38.15
PATRAI,21.44,38.15
KATAKOLON,21.19,37.39
PILOS,21.4,36.54
KALAMATA,22.07,37.01
YITHION,22.34,36.45
NAVPLIO,22.48,37.34
SPETSES,23.1,37.16
LAVRIO,24.04,37.42
MEGARA OIL TERMINAL,23.24,37.58
AYIOS NIKOLAOS,23.32,37.59
ELEVSIS,23.33,38.02
PAKHI OIL TERMINAL,23.23,37.58
PERAMA,23.34,37.58
PIRAIEVS,23.39,37.56
ORMOS MIKRO VATHI,23.36,38.26
DHIAVLOS STENO,23.36,38.27
CHALKIS,23.36,38.28
ORMOS ALIVERIOU,24.03,38.23
ASTAKOS,21.06,38.29
ASPROPIRGOS,23.36,38.02
PORTHMOS EVRIPOU,23.35,38.28
LARIMNA,23.17,38.34
KYMASSI,23.28,38.5
ACHLADI,22.49,38.54
STILIS,22.37,38.55
TSINGELI,22.51,39.1
VOLOS,22.57,39.22
MILIANA,23.13,39.1
THESSALONIKI,22.56,40.38
YERAKINI,23.28,40.16
STRATONI,23.5,40.31
KAVALA,24.24,40.56
LAGOS,25.08,41
ALEXANDROUPOLI,25.53,40.5
MITILINI,26.34,39.06
PLOMARION,26.22,38.59
VRAKHONISIS KALLONIS,26.05,39.05
KHIOS,26.08,38.22
NEON KARLOVAS,26.41,37.48
SAMOS,26.58,37.45
PITHAGORION,26.57,37.41
GAVRIO,24.44,37.53
ANDROS,24.57,37.5
MIKONOS,25.2,37.27
LIMIN SIROU,24.57,37.26
NISOS NAXOS,25.22,37.06
MILOS,24.27,36.43
AKRA KAVONISI,23.38,35.31
SOUDHA,24.11,35.29
RETHIMNON,24.28,35.22
IRAKLION,25.09,35.21
SITIA,26.08,35.13
AYIOS NIKOLAOS,25.43,35.12
KALI LIMENES,24.5,34.56
RODHOS,28.14,36.27
LIMIN KOS,27.17,36.54
KALIMNOS,26.59,36.57
LAKKI,26.51,37.08
ALIAGA,26.56,38.5
GEMLIK,29.07,40.25
ECEABAT,26.22,40.11
GELIBOLU,26.4,40.24
BORUSAN FERTILIZER JETTY,29.06,40.25
AMBARLI,28.42,40.58
TEKIRDAG,27.31,40.59
ISTANBUL,28.58,41.01
DEFTERDAR BURNU,29.02,41.03
ISTINYE,29.03,41.07
BURGAS,27.29,42.29
VARNA,27.58,43.11
MANGALIA,28.35,43.49
BASARABI,28.26,44.1
CONSTANTA,28.39,44.1
MEDGIDIA,28.16,44.15
DANUBE-BLACK SEA CANAL,28.11,44.16
CERNAVODA,28.03,44.2
MIDIA,28.4,44.21
SULINA,29.4,45.1
TULCEA,28.49,45.1
BRAILA,27.59,45.15
GALATI,28.05,45.25
IZMAYIL,28.51,45.2
ILLICHIVSK,30.39,46.18
ODESA,30.44,46.29
YUZHNYY,31.01,46.36
MYKOLAYIV,31.59,46.57
PORT OKTYABRSK,31.56,46.5
DNIPRO-BUZKYY,31.53,46.44
KHERSON,32.36,46.37
BELGOROD-DNESTROVSKY,30.22,46.11
SKADOVS'K,32.55,46.06
KHORLY,33.17,46.05
CHORNOMORS KE,32.42,45.31
UST-DUNAISK,29.42,45.28
YEVPATORIYA,33.23,45.12
SEVASTOPOL,33.32,44.37
BALAKLAVA,33.36,44.3
YALTA,34.1,44.29
ALUSHTA,34.25,44.41
SUDAK,34.59,44.51
FEODOSIYA,35.26,45.01
KERCH,36.29,45.21
RENI,28.18,45.26
HENICHESK,34.49,46.1
KYRYLIVKA,35.22,46.21
BERDYANSK,36.47,46.45
MARIUPOL,37.34,47.05
TAGANROG,38.57,47.12
ROSTOV-NA-DONU,39.43,47.1
AZOV,39.26,47.06
YEYSK,38.16,46.44
TEMRYUK,37.21,45.21
KAVKAZ OIL TERMINAL,36.39,45.2
