Port,longitude,latitude
WILMETTE,-87.41,42.05
GREAT LAKES,-87.5,42.18
WAUKEGAN,-87.49,42.22
KENOSHA,-87.49,42.35
RACINE,-87.47,42.44
MILWAUKEE,-87.53,43.02
PORT WASHINGTON,-87.52,43.23
SHEBOYGAN,-87.42,43.45
MANITOWOC,-87.39,44.06
TWO RIVERS,-87.34,44.09
KEWAUNEE,-87.3,44.28
ALGOMA,-87.26,44.36
STURGEON BAY,-87.23,44.5
GREEN BAY,-88.01,44.31
DEPERE,-88.04,44.27
KAUKAUNA,-88.16,44.17
OCONTO,-87.5,44.54
MARINETTE,-87.36,45.05
MENOMINEE,-87.36,45.06
ESCANABA,-87.03,45.46
GLADSTONE,-87.01,45.51
NAHMA,-86.4,45.5
MANISTIQUE,-86.15,45.57
PORT INLAND,-85.52,45.58
GOULAIS BAY,-84.3,46.44
BATCHAWANA BAY,-84.36,46.55
GARGANTUA,-84.58,47.34
MICHIPICOTEN,-84.54,47.58
QUEBEC HARBOUR,-85.48,47.42
HERON BAY,-86.19,48.39
THUNDER BAY,-89.14,48.24
GRAND MARAIS,-85.58,46.41
MUNISING,-86.39,46.25
MARQUETTE,-87.23,46.32
PRESQUE ISLE,-87.23,46.34
L ANSE,-88.28,46.46
BARAGA,-88.29,46.47
COPPER HARBOR,-87.52,47.28
EAGLE HARBOR,-88.1,47.28
HOUGHTON,-88.34,47.07
ONTONAGON,-89.2,46.53
ASHLAND,-90.52,46.36
WASHBURN,-90.53,46.4
BAYFIELD,-90.49,46.48
LA POINTE,-90.47,46.47
CORNUCOPIA,-91.06,46.52
PORT WING,-91.23,46.47
SUPERIOR,-92.04,46.44
DULUTH,-92.06,46.46
TWO HARBORS,-91.39,47.01
GRAND MARAIS,-90.2,47.45
WASHINGTON HARBOR,-89.09,47.55
GASPE,-64.29,48.5
DOUGLASTOWN,-64.23,48.46
CHANDLER,-64.4,48.22
DALHOUSIE,-66.22,48.04
CARAQUET,-64.56,47.48
SHIPPEGAN,-64.42,47.45
SHEDIAC,-64.33,46.13
ALBERTON,-64.04,46.48
SOURIS HARBOUR,-62.15,46.21
GEORGETOWN,-62.32,46.11
CHARLOTTETOWN,-63.08,46.14
SUMMERSIDE,-63.47,46.24
PICTOU,-62.43,45.4
PORT HAWKESBURY,-61.22,45.37
PORT HASTINGS,-61.24,45.39
CHETICAMP,-61,46.38
WHYCOCOMAGH,-61.08,45.58
GRAND NARROWS,-60.47,45.57
LITTLE BRAS D OR,-60.18,46.15
NORTH SYDNEY,-60.15,46.13
SYDNEY,-60.12,46.09
LOUISBURG,-59.58,45.55
ARICHAT,-61.01,45.31
GUYSBOROUGH,-61.3,45.24
CANSO,-61,45.2
WHITEHAVEN HARBOR,-61.11,45.14
GOLDSBORO,-61.39,45.11
STORMONT,-61.43,45.13
SONORA,-61.55,45.04
MUSQUODOBOIT HARBOUR,-63.09,44.47
HALIFAX,-63.35,44.39
SAMBRO,-63.36,44.28
LUNENBURG,-64.19,44.23
LIVERPOOL (BROOKLYN),-64.39,44.02
LOCKEPORT,-65.07,43.42
YARMOUTH,-66.07,43.5
DIGBY,-65.46,44.37
ANNAPOLIS ROYAL,-65.31,44.45
WINDSOR,-64.09,45
CANAPORT (ST. JOHN),-65.59,45.12
ST JOHN,-66.03,45.16
PORT BAYSIDE NB,-67.08,45.09
EASTPORT,-66.59,44.54
LUBEC,-66.59,44.52
MACHIASPORT,-67.24,44.42
MACHIAS,-67.28,44.43
JONESPORT,-67.37,44.32
WYMAN,-67.52,44.31
MILBRIDGE,-67.53,44.32
COREA,-67.58,44.24
WINTER HARBOR,-68.05,44.23
SORRENTO,-68.11,44.28
BAR HARBOR,-68.12,44.23
NORTHEAST HARBOR,-68.17,44.18
SOUTHWEST HARBOR,-68.19,44.17
MOUNT DESERT,-68.2,44.22
FRENCHBORO,-68.22,44.07
MINTURN,-68.27,44.09
SWANS ISLAND,-68.27,44.08
BASS HARBOR,-68.21,44.14
